id,group,start,end,circa,name_fr,name_en,wiki_fr,wiki_en,description_en,description_fr,type,background,foreground,border
megaliths:west-kennet-long-barrow,megaliths-europe,-3600,,true,West Kennet Long Barrow,West Kennet Long Barrow,https://fr.wikipedia.org/wiki/West_Kennet_Long_Barrow,https://en.wikipedia.org/wiki/West_Kennet_Long_Barrow,,,point,oklch(78% 0.02 250),,
megaliths:silbury-hill,megaliths-europe,-2400,,true,Silbury Hill,Silbury Hill,https://fr.wikipedia.org/wiki/Silbury_Hill,https://en.wikipedia.org/wiki/Silbury_Hill,,,point,oklch(78% 0.02 250),,
megaliths:men-an-tol,megaliths-europe,-2500,,true,Men-an-Tol,Men-an-Tol,https://fr.wikipedia.org/wiki/Men-an-Tol,https://en.wikipedia.org/wiki/Men-an-Tol,,,point,oklch(78% 0.02 250),,
megaliths:poulnabrone-dolmen,megaliths-europe,-3500,,true,Dolmen de Poulnabrone,Poulnabrone dolmen,https://fr.wikipedia.org/wiki/Dolmen_de_Poulnabrone,https://en.wikipedia.org/wiki/Poulnabrone_dolmen,,,point,oklch(78% 0.02 250),,
megaliths:carrowmore,megaliths-europe,-3500,,true,Carrowmore,Carrowmore,https://fr.wikipedia.org/wiki/Carrowmore,https://en.wikipedia.org/wiki/Carrowmore,,,point,oklch(78% 0.02 250),,
megaliths:knowth,megaliths-europe,-3200,,true,Knowth,Knowth,https://fr.wikipedia.org/wiki/Knowth,https://en.wikipedia.org/wiki/Knowth,,,point,oklch(78% 0.02 250),,
megaliths:dolmen-of-menga,megaliths-europe,-3700,,true,Dolmen de Menga,Dolmen of Menga,https://fr.wikipedia.org/wiki/Dolmen_de_Menga,https://en.wikipedia.org/wiki/Dolmen_of_Menga,,,point,oklch(78% 0.02 250),,
megaliths:tarxien-temples,megaliths-europe,-3000,,true,Temples de Tarxien,Tarxien Temples,https://fr.wikipedia.org/wiki/Temples_de_Tarxien,https://en.wikipedia.org/wiki/Tarxien_Temples,,,point,oklch(78% 0.02 250),,
megaliths:ggantija,megaliths-europe,-3600,,true,Ġgantija,Ġgantija,https://fr.wikipedia.org/wiki/%C4%A0gantija,https://en.wikipedia.org/wiki/%C4%A0gantija,,,point,oklch(78% 0.02 250),,
megaliths:mnajdra,megaliths-europe,-3600,,true,Mnajdra,Mnajdra,https://fr.wikipedia.org/wiki/Mnajdra,https://en.wikipedia.org/wiki/Mnajdra,,,point,oklch(78% 0.02 250),,
megaliths:hagar-qim,megaliths-europe,-3400,,true,Ħaġar Qim,Ħaġar Qim,https://fr.wikipedia.org/wiki/%C4%A6a%C4%A1ar_Qim,https://en.wikipedia.org/wiki/%C4%A6a%C4%A1ar_Qim,,,point,oklch(78% 0.02 250),,
megaliths:karahunj,megaliths-middle-east,-2000,,true,Zorats Karer,Zorats Karer,https://fr.wikipedia.org/wiki/Zorats_Karer,https://en.wikipedia.org/wiki/Zorats_Karer,,,point,oklch(78% 0.02 250),,
megaliths:tiya,megaliths-africa,1000,,true,Tiya (Éthiopie),Tiya (Ethiopia),https://fr.wikipedia.org/wiki/Tiya_(site_arch%C3%A9ologique),https://en.wikipedia.org/wiki/Tiya_(archaeological_site),,,point,oklch(78% 0.02 250),,
megaliths:aksum-stelae,megaliths-africa,300,,true,Stèles d'Aksoum,Obelisk of Axum,https://fr.wikipedia.org/wiki/May-Hedja,https://en.wikipedia.org/wiki/Obelisk_of_Axum,,,point,oklch(78% 0.02 250),,
megaliths:majorville-cairn,megaliths-north-america,-3200,,true,Majorville Cairn and Medicine Wheel,Majorville Cairn and Medicine Wheel,https://en.wikipedia.org/wiki/Majorville_Cairn_and_Medicine_Wheel_site,https://en.wikipedia.org/wiki/Majorville_Cairn_and_Medicine_Wheel_site,,,point,oklch(78% 0.02 250),,
megaliths:bighorn-medicine-wheel,megaliths-north-america,1200,,true,Bighorn Medicine Wheel,Bighorn Medicine Wheel,https://en.wikipedia.org/wiki/Medicine_Wheel_National_Historic_Landmark,https://en.wikipedia.org/wiki/Medicine_Wheel_National_Historic_Landmark,,,point,oklch(78% 0.02 250),,
megaliths:nan-madol,megaliths-oceania,1200,,true,Nan Madol,Nan Madol,https://fr.wikipedia.org/wiki/Nan_Madol,https://en.wikipedia.org/wiki/Nan_Madol,,,point,oklch(78% 0.02 250),,
megaliths:moai,megaliths-oceania,1200,,true,Moai,Moai,https://fr.wikipedia.org/wiki/Moai,https://en.wikipedia.org/wiki/Moai,,,point,oklch(78% 0.02 250),,
megaliths:sacsayhuaman,megaliths-south-america,1450,,true,Sacsayhuamán,Sacsayhuamán,https://fr.wikipedia.org/wiki/Sacsayhuam%C3%A1n,https://en.wikipedia.org/wiki/Sacsayhuam%C3%A1n,,,point,oklch(78% 0.02 250),,
megaliths:tiwanaku,megaliths-south-america,110,,true,Tiwanaku,Tiwanaku,https://fr.wikipedia.org/wiki/Tiwanaku,https://en.wikipedia.org/wiki/Tiwanaku,,,point,oklch(78% 0.02 250),,
