id,group,start,end,name_fr,name_en,wiki_fr,wiki_en,description_en,description_fr,type,background,foreground,border
rome:emperor-tiberius,rome-emperors,14,37,Tibère,Tiberius,https://fr.wikipedia.org/wiki/Tibère,https://en.wikipedia.org/wiki/Tiberius,,,,oklch(55% 0.18 20),#fff,
rome:emperor-caligula,rome-emperors,37,41,Caligula,Caligula,https://fr.wikipedia.org/wiki/Caligula,https://en.wikipedia.org/wiki/Caligula,,,,oklch(55% 0.18 20),#fff,
rome:emperor-claudius,rome-emperors,41,54,Claude,Claudius,https://fr.wikipedia.org/wiki/Claude_(empereur_romain),https://en.wikipedia.org/wiki/Claudius,,,,oklch(55% 0.18 20),#fff,
rome:emperor-nero,rome-emperors,54,68,Néron,Nero,https://fr.wikipedia.org/wiki/Néron,https://en.wikipedia.org/wiki/Nero,,,,oklch(55% 0.18 20),#fff,
rome:emperor-galba,rome-emperors,68,69,Galba,Galba,https://fr.wikipedia.org/wiki/Galba,https://en.wikipedia.org/wiki/Galba,,,,oklch(55% 0.18 20),#fff,
rome:emperor-otho,rome-emperors,69,70,Othon,Otho,https://fr.wikipedia.org/wiki/Othon,https://en.wikipedia.org/wiki/Otho,,,,oklch(55% 0.18 20),#fff,
rome:emperor-vitellius,rome-emperors,69,70,Vitellius,Vitellius,https://fr.wikipedia.org/wiki/Vitellius,https://en.wikipedia.org/wiki/Vitellius,,,,oklch(55% 0.18 20),#fff,
rome:emperor-vespasian,rome-emperors,69,79,Vespasien,Vespasian,https://fr.wikipedia.org/wiki/Vespasien,https://en.wikipedia.org/wiki/Vespasian,,,,oklch(55% 0.18 20),#fff,
rome:emperor-titus,rome-emperors,79,81,Titus,Titus,https://fr.wikipedia.org/wiki/Titus_(empereur_romain),https://en.wikipedia.org/wiki/Titus,,,,oklch(55% 0.18 20),#fff,
rome:emperor-domitian,rome-emperors,81,96,Domitien,Domitian,https://fr.wikipedia.org/wiki/Domitien,https://en.wikipedia.org/wiki/Domitian,,,,oklch(55% 0.18 20),#fff,
rome:emperor-nerva,rome-emperors,96,98,Nerva,Nerva,https://fr.wikipedia.org/wiki/Nerva,https://en.wikipedia.org/wiki/Nerva,,,,oklch(55% 0.18 20),#fff,
rome:emperor-trajan,rome-emperors,98,117,Trajan,Trajan,https://fr.wikipedia.org/wiki/Trajan,https://en.wikipedia.org/wiki/Trajan,,,,oklch(55% 0.18 20),#fff,
rome:emperor-hadrian,rome-emperors,117,138,Hadrien,Hadrian,https://fr.wikipedia.org/wiki/Hadrien,https://en.wikipedia.org/wiki/Hadrian,,,,oklch(55% 0.18 20),#fff,
rome:emperor-antoninus-pius,rome-emperors,138,161,Antonin le Pieux,Antoninus Pius,https://fr.wikipedia.org/wiki/Antonin_le_Pieux,https://en.wikipedia.org/wiki/Antoninus_Pius,,,,oklch(55% 0.18 20),#fff,
rome:emperor-marcus-aurelius,rome-emperors,161,180,Marc Aurèle,Marcus Aurelius,https://fr.wikipedia.org/wiki/Marc_Aurèle,https://en.wikipedia.org/wiki/Marcus_Aurelius,,,,oklch(55% 0.18 20),#fff,
rome:emperor-lucius-verus,rome-emperors,161,169,Lucius Verus,Lucius Verus,https://fr.wikipedia.org/wiki/Lucius_Verus,https://en.wikipedia.org/wiki/Lucius_Verus,,,,oklch(55% 0.18 20),#fff,
rome:emperor-commodus,rome-emperors,180,192,Commode,Commodus,https://fr.wikipedia.org/wiki/Commode_(empereur_romain),https://en.wikipedia.org/wiki/Commodus,,,,oklch(55% 0.18 20),#fff,
rome:emperor-pertinax,rome-emperors,193,194,Pertinax,Pertinax,https://fr.wikipedia.org/wiki/Pertinax_(empereur_romain),https://en.wikipedia.org/wiki/Pertinax,,,,oklch(55% 0.18 20),#fff,
rome:emperor-didius-julianus,rome-emperors,193,194,Didius Julianus,Didius Julianus,https://fr.wikipedia.org/wiki/Didius_Julianus,https://en.wikipedia.org/wiki/Didius_Julianus,,,,oklch(55% 0.18 20),#fff,
rome:emperor-septimius-severus,rome-emperors,193,211,Septime Sévère,Septimius Severus,https://fr.wikipedia.org/wiki/Septime_Sévère,https://en.wikipedia.org/wiki/Septimius_Severus,,,,oklch(55% 0.18 20),#fff,
rome:emperor-caracalla,rome-emperors,198,217,Caracalla,Caracalla,https://fr.wikipedia.org/wiki/Caracalla,https://en.wikipedia.org/wiki/Caracalla,,,,oklch(55% 0.18 20),#fff,
rome:emperor-geta,rome-emperors,209,211,Géta,Geta_(emperor),https://fr.wikipedia.org/wiki/Geta_(empereur_romain),https://en.wikipedia.org/wiki/Geta_(emperor),,,,oklch(55% 0.18 20),#fff,
rome:emperor-macrinus,rome-emperors,217,218,Macrin,Macrinus,https://fr.wikipedia.org/wiki/Macrin,https://en.wikipedia.org/wiki/Macrinus,,,,oklch(55% 0.18 20),#fff,
rome:emperor-elagabalus,rome-emperors,218,222,Élagabal,Elagabalus,https://fr.wikipedia.org/wiki/H%C3%A9liogabale,https://en.wikipedia.org/wiki/Elagabalus,,,,oklch(55% 0.18 20),#fff,
rome:emperor-severus-alexander,rome-emperors,222,235,Sévère Alexandre,Severus Alexander,https://fr.wikipedia.org/wiki/Sévère_Alexandre,https://en.wikipedia.org/wiki/Severus_Alexander,,,,oklch(55% 0.18 20),#fff,
rome:emperor-maximinus-thrax,rome-emperors,235,238,Maximin le Thrace,Maximinus Thrax,https://fr.wikipedia.org/wiki/Maximin_le_Thrace,https://en.wikipedia.org/wiki/Maximinus_Thrax,,,,oklch(55% 0.18 20),#fff,
rome:emperor-gordian-i,rome-emperors,238,239,Gordien Ier,Gordian I,https://fr.wikipedia.org/wiki/Gordien_Ier,https://en.wikipedia.org/wiki/Gordian_I,,,,oklch(55% 0.18 20),#fff,
rome:emperor-gordian-ii,rome-emperors,238,239,Gordien II,Gordian II,https://fr.wikipedia.org/wiki/Gordien_II,https://en.wikipedia.org/wiki/Gordian_II,,,,oklch(55% 0.18 20),#fff,
rome:emperor-pupienus,rome-emperors,238,239,Pupien,Pupienus,https://fr.wikipedia.org/wiki/Pupien,https://en.wikipedia.org/wiki/Pupienus,,,,oklch(55% 0.18 20),#fff,
rome:emperor-balbinus,rome-emperors,238,239,Balbin,Balbinus,https://fr.wikipedia.org/wiki/Balbin,https://en.wikipedia.org/wiki/Balbinus,,,,oklch(55% 0.18 20),#fff,
rome:emperor-gordian-iii,rome-emperors,238,244,Gordien III,Gordian III,https://fr.wikipedia.org/wiki/Gordien_III,https://en.wikipedia.org/wiki/Gordian_III,,,,oklch(55% 0.18 20),#fff,
rome:emperor-philip-the-arab,rome-emperors,244,249,Philippe l'Arabe,Philip the Arab,https://fr.wikipedia.org/wiki/Philippe_l%27Arabe,https://en.wikipedia.org/wiki/Philip_the_Arab,,,,oklch(55% 0.18 20),#fff,
rome:emperor-decius,rome-emperors,249,251,Dèce,Decius,https://fr.wikipedia.org/wiki/Dèce,https://en.wikipedia.org/wiki/Decius,,,,oklch(55% 0.18 20),#fff,
rome:emperor-trebonianus-gallus,rome-emperors,251,253,Trébonien Galle,Trebonianus Gallus,https://fr.wikipedia.org/wiki/Trébonien_Galle,https://en.wikipedia.org/wiki/Trebonianus_Gallus,,,,oklch(55% 0.18 20),#fff,
rome:emperor-aemilian,rome-emperors,253,254,Émilien,Aemilian,https://fr.wikipedia.org/wiki/Émilien,https://en.wikipedia.org/wiki/Aemilian,,,,oklch(55% 0.18 20),#fff,
rome:emperor-valerian,rome-emperors,253,260,Valérien,Valerian,https://fr.wikipedia.org/wiki/Valérien,https://en.wikipedia.org/wiki/Valerian_(emperor),,,,oklch(55% 0.18 20),#fff,
rome:emperor-gallienus,rome-emperors,253,268,Gallien,Gallienus,https://fr.wikipedia.org/wiki/Gallien,https://en.wikipedia.org/wiki/Gallienus,,,,oklch(55% 0.18 20),#fff,
rome:emperor-claudius-ii-gothicus,rome-emperors,268,270,Claude II le Gothique,Claudius Gothicus,https://fr.wikipedia.org/wiki/Claude_II_le_Gothique,https://en.wikipedia.org/wiki/Claudius_Gothicus,,,,oklch(55% 0.18 20),#fff,
rome:emperor-quintillus,rome-emperors,270,271,Quintillus,Quintillus,https://fr.wikipedia.org/wiki/Quintillus,https://en.wikipedia.org/wiki/Quintillus,,,,oklch(55% 0.18 20),#fff,
rome:emperor-aurelian,rome-emperors,270,275,Aurélien,Aurelian,https://fr.wikipedia.org/wiki/Aur%C3%A9lien_(empereur_romain),https://en.wikipedia.org/wiki/Aurelian,,,,oklch(55% 0.18 20),#fff,
rome:emperor-tacitus,rome-emperors,275,276,Tacite,Tacitus,https://fr.wikipedia.org/wiki/Tacite_(empereur),https://en.wikipedia.org/wiki/Tacitus_(emperor),,,,oklch(55% 0.18 20),#fff,
rome:emperor-probus,rome-emperors,276,282,Probus,Probus,https://fr.wikipedia.org/wiki/Probus_(empereur_romain),https://en.wikipedia.org/wiki/Probus_(emperor),,,,oklch(55% 0.18 20),#fff,
rome:emperor-diocletian,rome-emperors,284,305,Dioclétien,Diocletian,https://fr.wikipedia.org/wiki/Dioclétien,https://en.wikipedia.org/wiki/Diocletian,,,,oklch(55% 0.18 20),#fff,
rome:emperor-constantine-i,rome-emperors,306,337,Constantin Ier,Constantine the Great,https://fr.wikipedia.org/wiki/Constantin_Ier_(empereur_romain),https://en.wikipedia.org/wiki/Constantine_the_Great,,,,oklch(55% 0.18 20),#fff,
rome:emperor-constantius-ii,rome-emperors,337,361,Constance II,Constantius II,https://fr.wikipedia.org/wiki/Constance_II,https://en.wikipedia.org/wiki/Constantius_II,,,,oklch(55% 0.18 20),#fff,
rome:emperor-julian,rome-emperors,361,363,Julien,Julian,https://fr.wikipedia.org/wiki/Julien_(empereur_romain),https://en.wikipedia.org/wiki/Julian_(emperor),,,,oklch(55% 0.18 20),#fff,
rome:emperor-theodosius-i,rome-emperors,379,395,Théodose Ier,Theodosius I,https://fr.wikipedia.org/wiki/Théodose_Ier,https://en.wikipedia.org/wiki/Theodosius_I,,,,oklch(55% 0.18 20),#fff,
rome:emperor-romulus-augustulus,rome-emperors,475,476,Romulus Augustule,Romulus Augustulus,https://fr.wikipedia.org/wiki/Romulus_Augustule,https://en.wikipedia.org/wiki/Romulus_Augustulus,,,,oklch(55% 0.18 20),#fff,
rome:campaign-latin-war,rome-campaigns,-340,-338,Guerre latine,Latin War,https://fr.wikipedia.org/wiki/Guerre_latine,https://en.wikipedia.org/wiki/Latin_War,,,,oklch(84% 0.14 20),#111,
rome:campaign-samnite-wars,rome-campaigns,-343,-290,Guerres samnites,Samnite Wars,https://fr.wikipedia.org/wiki/Guerres_samnites,https://en.wikipedia.org/wiki/Samnite_Wars,,,,oklch(82% 0.14 20),#111,
rome:campaign-pyrrhic-war,rome-campaigns,-280,-275,Guerre de Pyrrhus,Pyrrhic War,https://fr.wikipedia.org/wiki/Guerre_de_Pyrrhus_en_Italie,https://en.wikipedia.org/wiki/Pyrrhic_War,,,,oklch(80% 0.14 20),#111,
rome:campaign-first-punic-war,rome-campaigns,-264,-241,Première guerre punique,First Punic War,https://fr.wikipedia.org/wiki/Première_guerre_punique,https://en.wikipedia.org/wiki/First_Punic_War,,,,oklch(78% 0.14 20),#111,
rome:campaign-second-punic-war,rome-campaigns,-218,-201,Deuxième guerre punique,Second Punic War,https://fr.wikipedia.org/wiki/Deuxième_guerre_punique,https://en.wikipedia.org/wiki/Second_Punic_War,,,,oklch(76% 0.14 20),#111,
rome:campaign-third-punic-war,rome-campaigns,-149,-146,Troisième guerre punique,Third Punic War,https://fr.wikipedia.org/wiki/Troisième_guerre_punique,https://en.wikipedia.org/wiki/Third_Punic_War,,,,oklch(74% 0.14 20),#111,
rome:campaign-macedonian-wars,rome-campaigns,-214,-148,Guerres de Macédoine,Macedonian Wars,https://fr.wikipedia.org/wiki/Guerres_de_Macédoine,https://en.wikipedia.org/wiki/Macedonian_Wars,,,,oklch(72% 0.14 20),#111,
rome:campaign-roman-syrian-war,rome-campaigns,-192,-188,Guerre antiochique,Roman–Seleucid War,https://fr.wikipedia.org/wiki/Guerre_antiochique,https://en.wikipedia.org/wiki/Roman%E2%80%93Seleucid_War,,,,oklch(71% 0.14 20),#111,
rome:campaign-lusitanian-war,rome-campaigns,-155,-139,Guerre lusitanienne,Lusitanian War,https://fr.wikipedia.org/wiki/Guerre_lusitanienne,https://en.wikipedia.org/wiki/Lusitanian_War,,,,oklch(70% 0.14 20),#111,
rome:campaign-numantine-war,rome-campaigns,-143,-133,Guerre de Numance,Numantine War,https://fr.wikipedia.org/wiki/Guerre_de_Numance,https://en.wikipedia.org/wiki/Numantine_War,,,,oklch(69% 0.14 20),#111,
rome:campaign-jugurthine-war,rome-campaigns,-112,-105,Guerre de Jugurtha,Jugurthine War,https://fr.wikipedia.org/wiki/Guerre_de_Jugurtha,https://en.wikipedia.org/wiki/Jugurthine_War,,,,oklch(68% 0.14 20),#111,
rome:campaign-cimbrian-war,rome-campaigns,-113,-101,Guerre contre les Cimbres et les Teutons,Cimbrian War,https://fr.wikipedia.org/wiki/Guerre_des_Cimbres,https://en.wikipedia.org/wiki/Cimbrian_War,,,,oklch(67% 0.14 20),#111,
rome:campaign-mithridatic-wars,rome-campaigns,-88,-63,Guerres mithridatiques,Mithridatic Wars,https://fr.wikipedia.org/wiki/Guerres_mithridatiques,https://en.wikipedia.org/wiki/Mithridatic_Wars,,,,oklch(66% 0.14 20),#111,
rome:campaign-gallic-wars,rome-campaigns,-58,-50,Guerre des Gaules,Gallic Wars,https://fr.wikipedia.org/wiki/Guerre_des_Gaules,https://en.wikipedia.org/wiki/Gallic_Wars,,,,oklch(65% 0.14 20),#111,
rome:campaign-caesars-civil-war,rome-campaigns,-49,-45,Guerre civile de César,Caesar's Civil War,https://fr.wikipedia.org/wiki/Guerre_civile_de_César,https://en.wikipedia.org/wiki/Caesar%27s_Civil_War,,,,oklch(64% 0.14 20),#111,
rome:campaign-roman-conquest-of-britain,rome-campaigns,43,87,Conquête romaine de la Bretagne,Roman conquest of Britain,https://fr.wikipedia.org/wiki/Conquête_romaine_de_la_Bretagne,https://en.wikipedia.org/wiki/Roman_conquest_of_Britain,,,,oklch(63% 0.14 20),#111,
rome:campaign-jewish-roman-wars,rome-campaigns,66,136,Guerres judéo-romaines,Jewish–Roman wars,https://fr.wikipedia.org/wiki/Guerres_judéo-romaines,https://en.wikipedia.org/wiki/Jewish%E2%80%93Roman_wars,,,,oklch(62% 0.14 20),#111,
rome:campaign-dacian-wars,rome-campaigns,85,89,Guerres daciques,Dacian Wars,https://fr.wikipedia.org/wiki/Guerre_dacique_de_Domitien,https://en.wikipedia.org/wiki/Domitian%27s_Dacian_War,,,,oklch(61% 0.14 20),#111,
rome:campaign-parthian-war-of-trajan,rome-campaigns,-54,217,Guerre contre les Parthes,Parthian campaign,https://fr.wikipedia.org/wiki/Guerres_romano-parthes,https://en.wikipedia.org/wiki/Roman%E2%80%93Parthian_Wars,,,,oklch(60% 0.14 20),#111,
rome:campaign-marcomannic-wars,rome-campaigns,166,180,Guerres marcomaniques,Marcomannic Wars,https://fr.wikipedia.org/wiki/Guerres_marcomanes,https://en.wikipedia.org/wiki/Marcomannic_Wars,,,,oklch(59% 0.14 20),#111,
